RAZ Level,Book Title,单词1,单词2,单词3,单词4,单词5,单词6,单词7,单词8,单词9,单词10,单词11,单词12,单词13,单词14,单词15,单词16,单词17,单词18,单词19,单词20,单词21
aa,The Ocean,coral,crab,ocean,sand,seaweed,starfish,,,,,,,,,,,,,,,
aa,工厂,污垢,洞,植物,雨,种子,铲,阳光,,,,,,,,,,,,,,
aa,The Plant,dirt,hole,plant,rain,seed,shovel,sunshine,,,,,,,,,,,,,,
aa,鸡,喙,鸡,蛋,羽毛,脚,腿,尾巴,翅膀,,,,,,,,,,,,,
aa,The Chicken,beak,chicken,egg,feathers,feet,legs,tail,wings,,,,,,,,,,,,,
aa,这些鸟,鸟类,乌鸦,鸽子,老鹰,鹅,鹰派,猫头鹰,火鸡,,,,,,,,,,,,,
aa,These Birds,birds,crows,doves,eagles,geese,hawks,owls,turkeys,,,,,,,,,,,,,
aa,仙境里的雨,动物,仙女们,花朵,树叶,雨,屋顶,,,,,,,,,,,,,,,
aa,Rain on fairyland,animals,fairies,flowers,leaves,rain,roofs,,,,,,,,,,,,,,,
aa,丛林朋友,朋友们,青蛙,丛林,猴,蛇,老虎,,,,,,,,,,,,,,,
aa,Jungle Friends,friends,frog,jungle,monkey,snake,tiger,,,,,,,,,,,,,,,
aa,动物午睡,蝙蝠,鱼,长颈鹿,马,蜥蜴,小睡,,,,,,,,,,,,,,,
aa,Animals Nap,bat,fish,giraffe,horse,lizard,naps,,,,,,,,,,,,,,,
aa,彩蛋,蓝色的,丰富多彩的,蛋,绿色的,橙子,粉色的,紫色的,红色的,,,,,,,,,,,,,
aa,Colorful Eggs,blue,colorful,egg,green,orange,pink,purple,red,,,,,,,,,,,,,
aa,紫色的,衬衫,帽子,背包,球,桶,拖鞋,冰棒,紫色的,,,,,,,,,,,,,
aa,Purple,shirt,hat,backpack,ball,bucket,flip-flop,ice pop,purple,,,,,,,,,,,,,
aa,黄色的,公共汽车,出租车,帽子,光,线,迹象,卡车,背心,黄色的,,,,,,,,,,,,
aa,Yellow,bus,cab,hat,light,lines,signs,truck,vest,yellow,,,,,,,,,,,,
aa,蓝色的,长椅,自行车,蓝色的,瓶子,头盔,操场,天空,滑动,摇摆,,,,,,,,,,,,
aa,Blue,bench,bike,blue,bottle,helmet,playground,sky,slide,swing,,,,,,,,,,,,
aa,绿色的,鸟,森林,青蛙,草,昆虫,叶子,蜥蜴,苔藓,蛇,,,,,,,,,,,,
aa,Green,bird,forest,frog,grass,insect,leaf,lizard,moss,snake,,,,,,,,,,,,
aa,橙子,蝴蝶,场地,花,叶子,橙子,南瓜,蛇,日落,树,,,,,,,,,,,,
aa,Orange,butterfly,field,flower,leaf,orange,pumpkin,snake,sunset,tree,,,,,,,,,,,,
aa,红色的,苹果,甜菜,樱桃,胡椒,土豆,萝卜,红色的,草莓,番茄,,,,,,,,,,,,
aa,Red,apple,beet,cherry,pepper,potato,radish,red,strawberry,tomato,,,,,,,,,,,,
aa,白色的,狐狸,冰屋,猫头鹰,海豹,雪,鲸,花朵,鸡蛋,白色的,,,,,,,,,,,,
aa,White,fox,igloo,owl,seal,snow,whale,flowers,eggs,white,,,,,,,,,,,,
aa,黑色的,岬,床单,阶段,套装,领带,魔杖,帽子,兔子,黑色的,,,,,,,,,,,,
aa,Black,cape,sheet,stage,suit,tie,wand,hat,rabbit,black,,,,,,,,,,,,
aa,一,床,毯子,书,桌子,一,枕头,小地毯,玩具,窗户,,,,,,,,,,,,
aa,One,bed,blanket,book,desk,one,pillow,rug,toy,window,,,,,,,,,,,,
aa,二,鸟类,虫子,猫,奶牛,狗,鱼,马匹,孩子们,二,,,,,,,,,,,,
aa,Two,birds,bugs,cats,cows,dogs,fish,horses,kids,two,,,,,,,,,,,,
aa,三,熊,骆驼,大象,青蛙,狮子,猴子,熊猫,三,,,,,,,,,,,,,
aa,Three,bears,camels,elephants,frogs,lions,monkeys,pandas,three,,,,,,,,,,,,,
aa,四,飞机,船,公共汽车,汽车,推车,四,卡车,货车,马车,,,,,,,,,,,,
aa,Four,airplanes,boats,buses,cars,carts,four,trucks,vans,wagons,,,,,,,,,,,,
aa,五,碗,椅子,杯子,五,叉子,午餐,平底锅,盘子,勺子,,,,,,,,,,,,
aa,Five,bowls,chairs,cups,five,forks,lunches,pans,plates,spoons,,,,,,,,,,,,
aa,六,外套,连衣裙,手套,帽子,裤子,衬衫,短裤,六,袜子,,,,,,,,,,,,
aa,Six,coat,dresses,gloves,hats,pants,shirts,shorts,six,socks,,,,,,,,,,,,
aa,七,海龟,蠕虫,蜜蜂,青蛙,瓢虫,蜥蜴,七,蛇,蜘蛛,,,,,,,,,,,,
aa,Seven,turtles,worms,bees,frogs,ladybugs,lizards,seven,snakes,spiders,,,,,,,,,,,,
aa,八,背包,瓶子,椅子,八,朋友们,热狗,灯,雨衣,棍子,,,,,,,,,,,,
aa,Eight,backpacks,bottles,chairs,eight,friends,hot dogs,lights,raincoats,sticks,,,,,,,,,,,,
aa,九,公牛队,鸡,奶牛,鹅,山羊,马匹,九,猪,羊,,,,,,,,,,,,
aa,Nine,bulls,chickens,cows,geese,goats,horses,nine,pigs,sheep,,,,,,,,,,,,
aa,十,苹果,甜菜,胡萝卜,柠檬,梨,土豆,十,草莓,西红柿,,,,,,,,,,,,
aa,Ten,apples,beets,carrots,lemons,pears,potatoes,Ten,strawberries,tomatoes,,,,,,,,,,,,
aa,十一,气球,棒棒糖,牌,纸杯蛋糕,十一,朋友们,帽子,披萨,礼物,,,,,,,,,,,,
aa,Eleven,balloons,candy bars,cards,cupcakes,eleven,friends,hats,pizzas,presents,,,,,,,,,,,,
aa,十二,围裙,碗,曲奇饼,杯子,帽子,平底锅,盘子,勺子,十二,,,,,,,,,,,,
aa,Twelve,aprons,bowls,cookies,cups,hats,pans,plates,spoons,twelve,,,,,,,,,,,,
aa,错误计数,虫子,一,二,三,四,五,六,七,许多,,,,,,,,,,,,
aa,Counting Bugs,bugs,one,two,three,four,five,six,seven,many,,,,,,,,,,,,
aa,一只昆虫,身体,五,四,头,腿,一,六,三,二,,,,,,,,,,,,
aa,One Insect,body,five,four,head,legs,one,six,three,two,,,,,,,,,,,,
aa,数字母,一,二,三,四,五,六,七,信,单词,,,,,,,,,,,,
aa,Counting Letters,one,two,three,four,five,six,seven,letter,word,,,,,,,,,,,,
aa,街道,自行车,栅栏,花朵,朋友,门,邮箱,人行道,,,,,,,,,,,,,,
aa,The Street,bike,fence,flowers,friend,gate,mailbox,sidewalk,,,,,,,,,,,,,,
aa,城市街,建筑物,公共汽车,城市,食物,人们,人行道,步骤,街道,出租车,,,,,,,,,,,,
aa,City Street,buildings,bus,city,food,people,sidewalk,steps,street,taxi,,,,,,,,,,,,
aa,城市,大的,建筑物,公共汽车,汽车,噪音,公园,人们,商店,街道,,,,,,,,,,,,
aa,The City,big,buildings,buses,cars,noise,park,people,stores,streets,,,,,,,,,,,,
aa,游乐场,桥,门,梯子,滑动,摇摆,车轮,沙箱,操场,,,,,,,,,,,,,
aa,The Playground,bridge,gate,ladder,slide,swing,wheel,sandbox,playground,,,,,,,,,,,,,
aa,圣诞节前夕,曲奇饼,蛋酒,灯,一顿饭,礼物,丝袜,树,牌,,,,,,,,,,,,,
aa,Christmas Eve,cookies,eggnog,lights,meal,presents,stockings,tree,cards,,,,,,,,,,,,,
aa,我的光明节,面包,蜡烛,家庭,礼物,光明节,玩具,糖果,曲奇饼,,,,,,,,,,,,,
aa,My Hanukkah,bread,candle,family,gift,Hanukkah,toy,candy,cookie,,,,,,,,,,,,,
aa,太多甜食,腹部,布朗尼,曲奇饼,纸杯蛋糕,冰淇淋,馅饼,蛋糕,糖果,,,,,,,,,,,,,
aa,Too Many Sweets,belly,brownie,cookie,cupcake,ice cream,pie,cake,candy,,,,,,,,,,,,,
aa,学校午餐,包,胡萝卜,曲奇饼,朋友们,午餐,牛奶,餐巾,面条,,,,,,,,,,,,,
aa,Lunch At School,bag,carrots,cookie,friends,lunch,milk,napkin,noodles,,,,,,,,,,,,,
aa,情人节礼物,气球,巧克力,曲奇饼,花朵,礼物,情人节,糖果,熊,,,,,,,,,,,,,
aa,Valentine's Day Gifts,balloons,chocolates,cookies,flowers,gifts,valentine,candy,bear,,,,,,,,,,,,,
aa,面食,卷曲,绿色的,长的,面食,红色的,短的,薄的,宽的,好吃,,,,,,,,,,,,
aa,Pasta,curly,green,long,pasta,red,short,thin,wide,yummy,,,,,,,,,,,,
aa,我给妈妈的礼物,弓,碗,盒子,天,礼物,拥抱,纸,微笑,,,,,,,,,,,,,
aa,My Gift for Mom,bow,bowl,box,day,gift,hug,paper,smile,,,,,,,,,,,,,
aa,花园,豆子,玉米,花园,瓜类,洋葱,豌豆,土豆,西红柿,,,,,,,,,,,,,
aa,The Garden,beans,corn,garden,melons,onions,peas,potatoes,tomatoes,,,,,,,,,,,,,
aa,打球,球,棒球,篮球,海滩,足球,高尔夫球,足球,网球,排球,,,,,,,,,,,,
aa,Play Ball,ball,baseball,basketball,beach,football,golf,soccer,tennis,volleyball,,,,,,,,,,,,
aa,棒球比赛,根据,棒球,蝙蝠,头盔,团队,制服,场地,帽子,游戏,,,,,,,,,,,,
aa,The Baseball Game,base,baseball,bat,helmet,team,uniform,field,hat,game,,,,,,,,,,,,
aa,旅程,书,车,衣服,狗,祖父母,地图,安全带,手提箱,,,,,,,,,,,,,
aa,The Trip,book,car,clothes,dog,grandparents,map,seat belt,suitcase,,,,,,,,,,,,,
aa,超市,面包,推车,谷物,鸡蛋,水果,肉,蔬菜,查看,,,,,,,,,,,,,
aa,The Supermarket,bread,carts,cereal,eggs,fruits,meat,vegetables,checkout,,,,,,,,,,,,,
aa,动物园,狮子,老虎,熊,狼,猿,黑猩猩,蛇,斑马,动物园,,,,,,,,,,,,
aa,The Zoo,lion,tiger,bear,wolf,ape,chimp,snake,zebra,zoo,,,,,,,,,,,,
aa,学校,艺术,课堂,健身房,图书馆,小吃店,音乐,操场,房间,学校,,,,,,,,,,,,
aa,The School,art,classroom,gym,library,lunchroom,music,playground,room,school,,,,,,,,,,,,
aa,课堂,背包,书,课堂,椅子,桌子,橡皮,纸,铅笔,,,,,,,,,,,,,
aa,The Classroom,backpack,book,classroom,chair,desk,eraser,paper,pencil,,,,,,,,,,,,,
aa,夏令营,公共汽车,孩子们,艺术,营,游戏,湖,午餐,歌曲,,,,,,,,,,,,,
aa,Summer Camp,bus,kids,art,camp,games,lake,lunch,songs,,,,,,,,,,,,,
aa,夏季野餐,杯子,食品,乐趣,帽子,野餐,盘子,鞋,夏天,太阳,,,,,,,,,,,,
aa,Summer Picnics,cups,foods,fun,hats,picnics,plates,shoes,summer,sun,,,,,,,,,,,,
aa,邮局,信,线,邮箱,规模,邮票,工人,钱,邮局,,,,,,,,,,,,,
aa,The Post Office,letter,line,mailbox,scale,stamp,worker,money,post office,,,,,,,,,,,,,
aa,书店,门,书店,椅子,帮手,房间,零食,故事,图书,,,,,,,,,,,,,
aa,The Bookstore,door,bookstore,chair,helpers,room,snacks,story,books,,,,,,,,,,,,,
aa,在飞机上,飞机,飞行员,座位,小吃,票,窗户,包,天空,,,,,,,,,,,,,
aa,On an Airplane,airplane,pilot,seat,snack,ticket,window,bag,sky,,,,,,,,,,,,,
aa,地铁,门,门,楼梯,地铁,票,隧道,,,,,,,,,,,,,,,
aa,The Subway,doors,gate,stairs,subway,ticket,tunnel,,,,,,,,,,,,,,,
aa,在湖边,船,码头,鱼,湖,岩石,泳装,,,,,,,,,,,,,,,
aa,At The Lake,boat,dock,fish,lake,rock,swimsuit,,,,,,,,,,,,,,,
aa,后院,后院,球,狗,栅栏,花,软管,摇摆,树,,,,,,,,,,,,,
aa,The Backyard,backyard,ball,dog,fence,flower,hose,swing,tree,,,,,,,,,,,,,
aa,我的校车,长椅,公共汽车,门,学校,座位,步骤,走,窗户,,,,,,,,,,,,,
aa,My School Bus,bench,bus,door,school,seat,steps,walk,window,,,,,,,,,,,,,
aa,菲多穿好衣服,靴子,岬,面具,围巾,太阳镜,毛衣,,,,,,,,,,,,,,,
aa,Fido Gets Dressed,boots,cape,mask,scarf,sunglasses,sweater,,,,,,,,,,,,,,,
aa,摘苹果,苹果,篮子,农民,朋友们,梯子,拖拉机,,,,,,,,,,,,,,,
aa,Picking Apples,apples,basket,farmer,friends,ladder,tractor,,,,,,,,,,,,,,,
aa,我的衣柜,腰带,毯子,壁橱,衣架,裤子,鞋,,,,,,,,,,,,,,,
aa,My Closet,belts,blankets,closet,hangers,pants,shoes,,,,,,,,,,,,,,,
aa,生日聚会,气球,生日,蜡烛,礼物,客人,歌唱,,,,,,,,,,,,,,,
aa,The Birthday Party,balloons,birthday,candles,gifts,guests,singing,,,,,,,,,,,,,,,
aa,表达一些爱,卡片,礼物,手,拥抱,吻,舔,拍,微笑,,,,,,,,,,,,,
aa,Show Some Love,card,gift,hand,hug,kiss,lick,pat,smile,,,,,,,,,,,,,
aa,这个厨房,饼干罐,柜台,橱柜,冰箱,下沉,火炉,烤面包机,垃圾桶,,,,,,,,,,,,,
aa,This Kitchen,cookie jar,counter,cupboard,fridge,sink,stove,toaster,trash can,,,,,,,,,,,,,
aa,我的浴室,洗澡,气泡,洗发水,肥皂,毛巾,浴缸,,,,,,,,,,,,,,,
aa,My Bath,bath,bubbles,shampoo,soap,towel,tub,,,,,,,,,,,,,,,
aa,玩具,熊,块,鼓,风筝,画,飞机,机器人,车皮,,,,,,,,,,,,,
aa,Toys,bear,blocks,drum,kite,paint,plane,robot,wagon,,,,,,,,,,,,,
aa,我们建造,画,钻头,胶水,锤,悬挂,画,沙,锯,,,,,,,,,,,,,
aa,We Build,draw,drill,glue,hammer,hang,paint,sand,saw,,,,,,,,,,,,,
aa,我们去露营,营,驾驶,点,故事,帐篷,工具,,,,,,,,,,,,,,,
aa,We Go Camping,camp,drive,spot,stories,tent,tools,,,,,,,,,,,,,,,
aa,堡垒,毯子,椅子,食物,堡,朋友们,游戏,灯,枕头,,,,,,,,,,,,,
aa,The Fort,blankets,chairs,food,fort,friends,games,lights,pillows,,,,,,,,,,,,,
aa,我的花园,花园,锄,软管,植物,种子,铲,,,,,,,,,,,,,,,
aa,My Garden,garden,hoe,hose,plants,seeds,shovel,,,,,,,,,,,,,,,
aa,这本书,封底,封面,字母,数字,页面,标题,,,,,,,,,,,,,,,
aa,The Book,back cover,front cover,letters,number,pages,title,,,,,,,,,,,,,,,
aa,我的复活节,篮子,糖果,裙子,复活节,鸡蛋,家庭,,,,,,,,,,,,,,,
aa,My Easter,basket,candy,dress,Easter,eggs,family,,,,,,,,,,,,,,,
aa,妈妈,眼睛,帮助,爱,微笑,塔克,嗓音,,,,,,,,,,,,,,,
aa,Mom,eyes,help,love,smile,tuck,voice,,,,,,,,,,,,,,,
aa,电影,线,电影,爆米花,屏幕,座位,门票,,,,,,,,,,,,,,,
aa,The Movie,line,movie,popcorn,screen,seats,tickets,,,,,,,,,,,,,,,
aa,我的家人,兄弟,家庭,父亲,祖父,祖母,我,母亲,我的,姐姐,,,,,,,,,,,,
aa,My Family,brother,family,father,grandfather,grandmother,me,mother,my,sister,,,,,,,,,,,,
aa,晚安,毯子,梦,吻,月亮,枕头,故事,,,,,,,,,,,,,,,
aa,Good Night,blanket,dream,kiss,Moon,pillow,story,,,,,,,,,,,,,,,
aa,搞笑猫,有趣的,猫,帽子,衬衫,弓,领带,裤子,靴子,眼镜,,,,,,,,,,,,
aa,Funny Cat,funny,cat,hat,shirt,bow,tie,pants,boots,glasses,,,,,,,,,,,,
aa,大的,大的,公共汽车,车,恐龙,狗,大象,房子,飞机,树,,,,,,,,,,,,
aa,Big,big,bus,car,dinosaur,dog,elephant,house,plane,tree,,,,,,,,,,,,
aa,小的,婴儿,漏洞,车,狗,房子,小的,老鼠,飞机,树,,,,,,,,,,,,
aa,Little,baby,bug,car,dog,house,little,mouse,plane,tree,,,,,,,,,,,,
aa,在下面,床,椅子,桌子,枕头,摇摆,桌子,树,伞,在下面,,,,,,,,,,,,
aa,Under,bed,chair,desk,pillow,swing,table,tree,umbrella,under,,,,,,,,,,,,
aa,在,飞机,床,自行车,栅栏,房子,在,冰鞋,摇摆,桌子,,,,,,,,,,,,
aa,On,airplane,bed,bike,fence,house,on,skates,swing,table,,,,,,,,,,,,
aa,在,浴缸,船,车,草,房子,在,泥,车皮,水,,,,,,,,,,,,
aa,In,bathtub,boat,car,grass,house,in,mud,wagon,water,,,,,,,,,,,,
aa,出去,浴缸,船,车,草,房子,泥,出去,车皮,水,,,,,,,,,,,,
aa,Out,bathtub,boat,car,grass,house,mud,out,wagon,water,,,,,,,,,,,,
aa,离开,椅子,电脑,长椅,离开,步,毛巾,,,,,,,,,,,,,,,
aa,Off,chair,computer,couch,off,step,towel,,,,,,,,,,,,,,,
aa,超过,球,蝙蝠,自行车,猫,玩具娃娃,洞,日志,锅,,,,,,,,,,,,,
aa,Over,ball,bat,bike,cat,doll,hole,log,pot,,,,,,,,,,,,,
aa,市场,曲奇饼,市场,农民,帐篷,果酱,蔬菜,,,,,,,,,,,,,,,
aa,The Market,cookies,market,farmers,tents,jam,vegetables,,,,,,,,,,,,,,,
aa,这些是相反的,干燥,圆形的,拉特,小的,帽子,湿的,,,,,,,,,,,,,,,
aa,These Are Opposites,dry,round,lat,small,hat,wet,,,,,,,,,,,,,,,
A,池塘动物,鸭子,青蛙,池塘,天鹅,海龟,蠕虫,,,,,,,,,,,,,,,
A,Pond Animals,ducks,frogs,pond,swans,turtles,worms,,,,,,,,,,,,,,,
A,我的狗,爬,挖,狗,拥抱,跳,超过,卷,跑步,坐,游泳,,,,,,,,,,,
A,My Dog,climb,dig,dog,hug,jump,over,roll,run,sit,swim,,,,,,,,,,,
A,大猫,猫,清洁,攀爬,吃,隐藏,看起来,戏剧,运行,睡觉,,,,,,,,,,,,
A,The Big Cat,cat,cleans,climbs,eats,hides,looks,plays,runs,sleeps,,,,,,,,,,,,
A,森林,鹿,森林,狐狸,蘑菇,兔子,松鼠,溪流,树,,,,,,,,,,,,,
A,The Forest,deer,forest,fox,mushroom,rabbit,squirrel,stream,tree,,,,,,,,,,,,,
A,妈妈和我,类人猿,海豚,大象,长颈鹿,袋鼠,斑马,,,,,,,,,,,,,,,
A,Mom and I,apes,dolphins,elephants,giraffes,kangaroos,zebras,,,,,,,,,,,,,,,
A,这里住着什么？,动物,熊,蜜蜂,孩子,鹿,鱼,青蛙,这里,居住,蠕虫,,,,,,,,,,,
A,What Lives Here?,animals,bear,bee,child,deer,fish,frog,here,live,worm,,,,,,,,,,,
A,动物宝宝,小牛,小鸡,幼兽,驹,孩子,小猫,羊肉,小狗,,,,,,,,,,,,,
A,Baby Animals,calf,chick,cub,foal,kid,kitten,lamb,puppy,,,,,,,,,,,,,
A,我爱花,雏菊,花朵,百合花,爱,妈妈们,罂粟花,玫瑰,向日葵,紫罗兰,,,,,,,,,,,,
A,I Love Flowers,daisies,flowers,lilies,love,mums,poppies,roses,sunflowers,violets,,,,,,,,,,,,
A,仓鼠之家,球,笼,食物,仓鼠,家,巢,管子,水,车轮,,,,,,,,,,,,
A,Hamster Home,ball,cage,food,hamster,home,nest,tube,water,wheel,,,,,,,,,,,,
A,哦,狸,醒,饥饿的,凌乱的,狸,聪明的,偷偷摸摸的,,,,,,,,,,,,,,
A,Oh,Raccoon,awake,hungry,messy,raccoon,smart,sneaky,,,,,,,,,,,,,,
A,鸟儿回家,树,农场,城市,街道,桌子,汽车,山,家,,,,,,,,,,,,,
A,Birds Goes Home,tree,farm,city,street,tables,cars,mountains,home,,,,,,,,,,,,,
A,春季天气,云,来了,花朵,多雾路段,雨,春天,风暴,太阳,风,,,,,,,,,,,,
A,Spring Weather,clouds,comes,flowers,fog,rain,spring,storm,sun,wind,,,,,,,,,,,,
A,蔬菜,西兰花,卷心菜,智利辣椒,莴苣,土豆,蔬菜,,,,,,,,,,,,,,,
A,Vegetables,broccoli,cabbage,chile pepper,lettuce,potato,vegetables,,,,,,,,,,,,,,,
A,水果颜色,蓝色的,水果,绿色的,橙子,粉色的,紫色的,红色的,黄色的,,,,,,,,,,,,,
A,Fruit Colors,blue,fruits,green,orange,pink,purple,red,yellow,,,,,,,,,,,,,
A,你好,蝴蝶,大的,蝴蝶,绿色的,你好,新的,红色的,小的,斑,有条纹的,,,,,,,,,,,
A,Hello,Butterfly,big,butterfly,green,hello,new,red,small,spotted,striped,,,,,,,,,,,
A,自然界中的形状,圆圈,心,椭圆形,形状,螺旋,正方形,星星,三角形,,,,,,,,,,,,,
A,Shapes in Nature,circle,heart,oval,shape,spiral,square,star,triangle,,,,,,,,,,,,,
A,春季和秋季,鸟类,玉米,落下,树叶,看,春天,,,,,,,,,,,,,,,
A,Spring and Fall,birds,corn,fall,leaves,see,spring,,,,,,,,,,,,,,,
A,暴雨,云,闪电,水坑,雨,彩虹,天空,太阳,,,,,,,,,,,,,,
A,The Rainstorm,clouds,lightning,puddle,rain,rainbow,sky,Sun,,,,,,,,,,,,,,
A,兔子,大的,黑色的,快速地,蓬松的,兔子,短的,小的,高的,白色的,,,,,,,,,,,,
A,Rabbits,big,black,fast,fluffy,rabbit,short,small,tall,white,,,,,,,,,,,,
A,蛇的颜色,黑色的,蓝色的,绿色的,橙子,粉色的,红色的,蛇,白色的,黄色的,,,,,,,,,,,,
A,Snake Colors,black,blue,green,orange,pink,red,snake,white,yellow,,,,,,,,,,,,
A,我看到我的颜色,蓝色的,棕色的,金子,绿色的,橙子,粉色的,紫色的,红色的,,,,,,,,,,,,,
A,I See My Colors,blue,brown,gold,green,orange,pink,purple,red,,,,,,,,,,,,,
A,鸟的颜色,鸟,蓝色的,棕色的,颜色,灰色的,绿色的,橙子,粉色的,紫色的,红色的,黄色的,,,,,,,,,,
A,Bird Colors,bird,blue,brown,colors,gray,green,orange,pink,purple,red,yellow,,,,,,,,,,
A,就寝时间计算,数数,五,四,我,许多,一,七,羊,六,三,二,,,,,,,,,,
A,Bedtime Counting,count,five,four,I,many,one,seven,sheep,six,three,two,,,,,,,,,,
A,卡洛斯伯爵小猫,五,四,小猫,许多,一,七,六,三,二,,,,,,,,,,,,
A,Carlos Counts Kittens,five,four,kittens,many,one,seven,six,three,two,,,,,,,,,,,,
A,玛丽亚数南瓜,五,四,一,南瓜,七,六,三,二,,,,,,,,,,,,,
A,Maria Counts Pumpkins,five,four,one,pumpkin,seven,six,three,two,,,,,,,,,,,,,
A,这种昆虫,美丽的,毛茸茸的,昆虫,闪亮的,斑,有条纹的,,,,,,,,,,,,,,,
A,This Insect,beautiful,furry,insect,shiny,spotted,striped,,,,,,,,,,,,,,,
A,万圣节南瓜,脸,万圣节,制作,怪物,南瓜,蜘蛛,,,,,,,,,,,,,,,
A,Halloween Pumpkins,face,Halloween,make,monster,pumpkin,spider,,,,,,,,,,,,,,,
A,水果,水果,樱桃,梨,香蕉,番茄,苹果,橙子,柠檬,,,,,,,,,,,,,
A,Fruit,fruit,cherry,pear,banana,tomato,apple,orange,lemon,,,,,,,,,,,,,
A,去的地方,自行车,船,公共汽车,车,马,飞机,滑板,火车,,,,,,,,,,,,,
A,Going Places,bike,boat,bus,car,horse,plane,skateboard,train,,,,,,,,,,,,,
A,现在我们烘烤,烤,霜,倒,服务,店铺,等待,,,,,,,,,,,,,,,
A,Now We Bake,bake,frost,pour,serve,shop,wait,,,,,,,,,,,,,,,
A,我的复活节彩蛋,想要,清楚的,愚蠢的,幽灵般的,繁星点点,暴风雨的,,,,,,,,,,,,,,,
A,My Easter Eggs,fancy,plain,silly,spooky,starry,stormy,,,,,,,,,,,,,,,
A,这是我的万圣节,兄弟,桶,糖果,万圣节,夹克,南瓜,,,,,,,,,,,,,,,
A,This Is My Halloween,brother,bucket,candy,Halloween,jacket,pumpkin,,,,,,,,,,,,,,,
A,万圣节屋,蜡烛,多雾路段,鬼魂,怪物,南瓜,网,,,,,,,,,,,,,,,
A,Halloween Houses,candles,fog,ghosts,monsters,pumpkins,webs,,,,,,,,,,,,,,,
A,闻起来像感恩节,肉汁,闻,馅,感恩,火鸡,山药,,,,,,,,,,,,,,,
A,Smells Like Thanksgiving,gravy,smell,stuffing,Thanksgiving,turkey,yams,,,,,,,,,,,,,,,
A,这感觉,干燥,感觉,粗糙的,光滑的,温暖的,湿的,,,,,,,,,,,,,,,
A,This Feels,dry,feels,rough,smooth,warm,wet,,,,,,,,,,,,,,,
A,去哪里,海滩,游戏,博物馆,游行,操场,树林,,,,,,,,,,,,,,,
A,Where to Go,beach,game,museum,parade,playground,woods,,,,,,,,,,,,,,,
A,汽车零件,车,门,引擎,灯,座位,安全带,树干,轮子,窗户,,,,,,,,,,,,
A,Car Parts,car,doors,engine,lights,seats,seat belts,trunk,wheels,window,,,,,,,,,,,,
A,水中乐趣,潜水,鱼,漂浮,桨,玩,帆,溅,游泳,水,,,,,,,,,,,,
A,Fun In The Water,dive,fish,float,paddle,play,sail,splash,swim,water,,,,,,,,,,,,
A,我画一只兔子,身体,兔子,画,耳朵,尾巴,牙齿,,,,,,,,,,,,,,,
